Gene_A,Gene_B,posterior_edge
Crebbp,Spi1,0.9781183173879244
Spi1,Cebpa,0.9330836403337
Ctnnb1,Gsk3b,0.9123654047318858
Tp53,Mdm4,0.8060620940472689
Tp53,Mdm2,0.970557167796322
Crebbp,Trp53,0.9678857251586156
Tp53,Uba52,0.9736431209232868
Rela,Socs1,0.939462231418774
Rela,Tnf,0.9475370743066676
Rela,Il6,0.9121412856910476
Rela,Bcl2,0.978343632719688
Rela,Il1b,0.818137292328222
Rela,Cxcl2,0.7462840131314747
Rela,Irf1,0.9425828008815018
Rela,Ccnd1,0.974005621758253
Rela,Nfkb1,0.9963680668604468
Rela,Nos2,0.878716842140093
Rela,Ccl5,0.7462840318537008
Rela,Il12b,0.9872319227308342
Rela,Bcl2a1,0.8189086980394196
Rela,Chuk,0.9794811487067792
Rela,Tnfaip3,0.9924831398991516
Rela,Nfkbib,0.9788515735952452
Rela,Il23a,0.8262398608542281
Rela,Nfkb2,0.8665424358350795
Rela,Nfkbia,0.975106283629786
Creb1,Ppargc1a,0.720153525842676
Ctnnb1,Csnk1e,0.8988804258825303
Bmal1,Epas1,0.7636571580311272
Bmal1,Hif1a,0.7636571843286607
Crebbp,Myb,0.8108333092383305
Trp53,Cdkn2a,0.896070075740243
Ctnnb1,Cdh1,0.7326745057246313
Ctnnb1,Cdh2,0.7326744882018136
Ctnnb1,Ctnna1,0.7326744882018136
Ctnnb1,Nr5a1,0.7616208844798501
Ctnnb1,Irs1,0.968236569984711
Ctnnb1,Ctnna2,0.7326745057246313
Ctnnb1,Apc,0.7925834543889133
Ifnb1,Irf3,0.7797328094195098
Spi1,Gata3,0.784503833256978
Spi1,Id2,0.8574552430910416
Spi1,Irf4,0.8087394920924125
Ctnnb1,Crebbp,0.987375689918923
Tp53,Crebbp,0.972989964953788
Ep300,Tp53,0.8086383397325182
Rela,Crebbp,0.9978654668276584
Ep300,Rela,0.824870256194244
Mdm2,Trp53,0.9654791813701104
Axin1,Ctnnb1,0.8755458754917312
Creb1,Crebbp,0.8358229641243806
Bmal1,Crebbp,0.9888152505090848
Clock,Bmal1,0.9796833759209156
Per2,Bmal1,0.9874534328906962
Cry1,Bmal1,0.9857859556790092
Sirt1,Bmal1,0.8986643743533923
Cry2,Bmal1,0.9830288060057152
Tal1,Myb,0.7762113496918496
Gata1,Spi1,0.7941338065672255
Sin3a,Trp53,0.927652754998594
Jun,Spi1,0.9440072776155262
Ifnb1,Crebbp,0.8742289552959455
Irf8,Ifnb1,0.8423204804340289
Irf8,Spi1,0.937351759655026
