Gene_A,Gene_B,posterior_edge
Eef2,Rpl9,0.9619142662545804
Rpl9,Rpl14,0.9321963499570358
Eef2,Rpl23,0.8293517171908082
Eef2,Fau,0.9584821521565272
Eef2,Serbp1,0.9639593335224872
Eef2,Rps23,0.9375061334028209
Eef2,Rps24,0.9121165318479332
Rps23,Rps11,0.923997574061942
Rpl23,Rpl24,0.7153322706198356
Serbp1,Rps10,0.8985805283358048
Rps24,Rps4x,0.858628575428783
Serbp1,Rps12,0.8115993576127457
Rplp0,Eef2,0.8520956690460275
Uba52,Rplp0,0.8617611375293126
Uba52,Rpl9,0.9745943932057578
Rpl18a,Rpl9,0.9709408406340602
Rpl13a,Rpl9,0.958688085643457
Rpl3,Rpl23,0.758133489087565
Rps3,Fau,0.9639213358818716
Rps3,Serbp1,0.9694634955585604
Rps2,Serbp1,0.9661803123791484
Rps15a,Rps23,0.949249015165272
Rps9,Rps24,0.8964260285129572
Rps9,Fau,0.9410263716150818
Rpl12,Eef2,0.7732536145030235
Rps6,Rps24,0.8261121600672298
