Running on gpu-n37.crc.pitt.edu
workdir /ix/djishnu/Aaron_F/PGM_project/Bionic
Using CUDA
Preprocessing input networks...
Preprocessing finished: 3561 total nodes.
Epoch: 1 | Loss Total: 0.016340 | Loss 1: 0.002279 | Loss 2: 0.014061 | Time (s): 0.3852
Epoch: 2 | Loss Total: 0.013657 | Loss 1: 0.001889 | Loss 2: 0.011768 | Time (s): 0.1273
Epoch: 3 | Loss Total: 0.011885 | Loss 1: 0.001978 | Loss 2: 0.009907 | Time (s): 0.1101
Epoch: 4 | Loss Total: 0.010252 | Loss 1: 0.002010 | Loss 2: 0.008243 | Time (s): 0.0992
Epoch: 5 | Loss Total: 0.009142 | Loss 1: 0.002158 | Loss 2: 0.006984 | Time (s): 0.0993
Epoch: 6 | Loss Total: 0.008868 | Loss 1: 0.002144 | Loss 2: 0.006725 | Time (s): 0.0990
Epoch: 7 | Loss Total: 0.008667 | Loss 1: 0.002135 | Loss 2: 0.006532 | Time (s): 0.0992
Epoch: 8 | Loss Total: 0.008521 | Loss 1: 0.002136 | Loss 2: 0.006385 | Time (s): 0.0992
Epoch: 9 | Loss Total: 0.008246 | Loss 1: 0.002054 | Loss 2: 0.006192 | Time (s): 0.0994
Epoch: 10 | Loss Total: 0.008219 | Loss 1: 0.002085 | Loss 2: 0.006134 | Time (s): 0.0993
Epoch: 11 | Loss Total: 0.008016 | Loss 1: 0.002015 | Loss 2: 0.006001 | Time (s): 0.0988
Epoch: 12 | Loss Total: 0.008000 | Loss 1: 0.002012 | Loss 2: 0.005988 | Time (s): 0.0991
Epoch: 13 | Loss Total: 0.007912 | Loss 1: 0.002102 | Loss 2: 0.005810 | Time (s): 0.0987
Epoch: 14 | Loss Total: 0.007615 | Loss 1: 0.002018 | Loss 2: 0.005596 | Time (s): 0.0995
Epoch: 15 | Loss Total: 0.007285 | Loss 1: 0.001965 | Loss 2: 0.005321 | Time (s): 0.0989
Epoch: 16 | Loss Total: 0.006865 | Loss 1: 0.001989 | Loss 2: 0.004876 | Time (s): 0.0988
Epoch: 17 | Loss Total: 0.006485 | Loss 1: 0.001975 | Loss 2: 0.004510 | Time (s): 0.0988
Epoch: 18 | Loss Total: 0.006024 | Loss 1: 0.001934 | Loss 2: 0.004090 | Time (s): 0.0989
Epoch: 19 | Loss Total: 0.005660 | Loss 1: 0.001981 | Loss 2: 0.003680 | Time (s): 0.0991
Epoch: 20 | Loss Total: 0.005312 | Loss 1: 0.001981 | Loss 2: 0.003331 | Time (s): 0.0991
Epoch: 21 | Loss Total: 0.005288 | Loss 1: 0.001976 | Loss 2: 0.003312 | Time (s): 0.0988
Epoch: 22 | Loss Total: 0.005215 | Loss 1: 0.001977 | Loss 2: 0.003238 | Time (s): 0.0990
Epoch: 23 | Loss Total: 0.005097 | Loss 1: 0.001903 | Loss 2: 0.003194 | Time (s): 0.0992
Epoch: 24 | Loss Total: 0.005098 | Loss 1: 0.001930 | Loss 2: 0.003168 | Time (s): 0.0988
Epoch: 25 | Loss Total: 0.005018 | Loss 1: 0.001925 | Loss 2: 0.003094 | Time (s): 0.0994
Epoch: 26 | Loss Total: 0.004958 | Loss 1: 0.001886 | Loss 2: 0.003072 | Time (s): 0.0992
Epoch: 27 | Loss Total: 0.004972 | Loss 1: 0.001928 | Loss 2: 0.003044 | Time (s): 0.0991
Epoch: 28 | Loss Total: 0.004958 | Loss 1: 0.001832 | Loss 2: 0.003126 | Time (s): 0.0993
Epoch: 29 | Loss Total: 0.004884 | Loss 1: 0.001948 | Loss 2: 0.002936 | Time (s): 0.0991
Epoch: 30 | Loss Total: 0.004799 | Loss 1: 0.001909 | Loss 2: 0.002890 | Time (s): 0.0992
Epoch: 31 | Loss Total: 0.004900 | Loss 1: 0.001869 | Loss 2: 0.003031 | Time (s): 0.0989
Epoch: 32 | Loss Total: 0.004778 | Loss 1: 0.001863 | Loss 2: 0.002915 | Time (s): 0.0988
Epoch: 33 | Loss Total: 0.004797 | Loss 1: 0.001931 | Loss 2: 0.002866 | Time (s): 0.0993
Epoch: 34 | Loss Total: 0.004692 | Loss 1: 0.001838 | Loss 2: 0.002854 | Time (s): 0.0987
Epoch: 35 | Loss Total: 0.004566 | Loss 1: 0.001846 | Loss 2: 0.002721 | Time (s): 0.0997
Epoch: 36 | Loss Total: 0.004664 | Loss 1: 0.001854 | Loss 2: 0.002810 | Time (s): 0.0990
Epoch: 37 | Loss Total: 0.004597 | Loss 1: 0.001846 | Loss 2: 0.002752 | Time (s): 0.0987
Epoch: 38 | Loss Total: 0.004473 | Loss 1: 0.001807 | Loss 2: 0.002666 | Time (s): 0.0992
Epoch: 39 | Loss Total: 0.004571 | Loss 1: 0.001811 | Loss 2: 0.002760 | Time (s): 0.0992
Epoch: 40 | Loss Total: 0.004513 | Loss 1: 0.001850 | Loss 2: 0.002663 | Time (s): 0.0988
Epoch: 41 | Loss Total: 0.004505 | Loss 1: 0.001858 | Loss 2: 0.002647 | Time (s): 0.0988
Epoch: 42 | Loss Total: 0.004468 | Loss 1: 0.001858 | Loss 2: 0.002610 | Time (s): 0.0987
Epoch: 43 | Loss Total: 0.004443 | Loss 1: 0.001769 | Loss 2: 0.002674 | Time (s): 0.0995
Epoch: 44 | Loss Total: 0.004362 | Loss 1: 0.001843 | Loss 2: 0.002519 | Time (s): 0.0997
Epoch: 45 | Loss Total: 0.004319 | Loss 1: 0.001846 | Loss 2: 0.002472 | Time (s): 0.0995
Epoch: 46 | Loss Total: 0.004250 | Loss 1: 0.001748 | Loss 2: 0.002502 | Time (s): 0.0990
Epoch: 47 | Loss Total: 0.004122 | Loss 1: 0.001805 | Loss 2: 0.002317 | Time (s): 0.0999
Epoch: 48 | Loss Total: 0.004134 | Loss 1: 0.001792 | Loss 2: 0.002342 | Time (s): 0.0994
Epoch: 49 | Loss Total: 0.004091 | Loss 1: 0.001804 | Loss 2: 0.002288 | Time (s): 0.0999
Epoch: 50 | Loss Total: 0.004069 | Loss 1: 0.001826 | Loss 2: 0.002243 | Time (s): 0.0991
Epoch: 51 | Loss Total: 0.004060 | Loss 1: 0.001750 | Loss 2: 0.002309 | Time (s): 0.0992
Epoch: 52 | Loss Total: 0.004009 | Loss 1: 0.001843 | Loss 2: 0.002167 | Time (s): 0.0991
Epoch: 53 | Loss Total: 0.004039 | Loss 1: 0.001829 | Loss 2: 0.002210 | Time (s): 0.0987
Epoch: 54 | Loss Total: 0.004078 | Loss 1: 0.001770 | Loss 2: 0.002308 | Time (s): 0.0996
Epoch: 55 | Loss Total: 0.003886 | Loss 1: 0.001774 | Loss 2: 0.002112 | Time (s): 0.0991
Epoch: 56 | Loss Total: 0.003932 | Loss 1: 0.001807 | Loss 2: 0.002125 | Time (s): 0.1000
Epoch: 57 | Loss Total: 0.003839 | Loss 1: 0.001784 | Loss 2: 0.002056 | Time (s): 0.0991
Epoch: 58 | Loss Total: 0.003839 | Loss 1: 0.001802 | Loss 2: 0.002036 | Time (s): 0.0995
Epoch: 59 | Loss Total: 0.003855 | Loss 1: 0.001739 | Loss 2: 0.002116 | Time (s): 0.0994
Epoch: 60 | Loss Total: 0.003896 | Loss 1: 0.001740 | Loss 2: 0.002156 | Time (s): 0.0986
Epoch: 61 | Loss Total: 0.003859 | Loss 1: 0.001798 | Loss 2: 0.002061 | Time (s): 0.0993
Epoch: 62 | Loss Total: 0.003740 | Loss 1: 0.001735 | Loss 2: 0.002005 | Time (s): 0.0986
Epoch: 63 | Loss Total: 0.003740 | Loss 1: 0.001719 | Loss 2: 0.002020 | Time (s): 0.0994
Epoch: 64 | Loss Total: 0.003682 | Loss 1: 0.001759 | Loss 2: 0.001923 | Time (s): 0.0987
Epoch: 65 | Loss Total: 0.003713 | Loss 1: 0.001750 | Loss 2: 0.001963 | Time (s): 0.0995
Epoch: 66 | Loss Total: 0.003680 | Loss 1: 0.001740 | Loss 2: 0.001939 | Time (s): 0.0991
