geneSymbol,final_state
Usp24,1
Acin1,1
Cic,1
Mark3,1
Med1,1
Arhgap45,1
Numa1,1
Sipa1l1,1
Ep400,1
Setd1a,1
Zfp318,1
Ankrd11,1
Phf2,1
Togaram1,1
Arfgef2,1
Nsd3,1
Chd1,-1
Gtf2f1,1
Nab1,-1
Rhbdf2,1
Cd2ap,1
Pdcd4,1
Znf652,1
Zzef1,1
Srrt,-1
Arid5a,-1
Mlxip,1
Zfp36,1
Kctd3,1
D1Ertd622e,1
Eef2,1
Rps6ka5,1
Pim1,1
Pim1,1
Dmap1,1
Rsbn1,1
Emsy,1
Tcf7l2,-1
Slc26a2,1
Nfil3,1
Sgo1,1
Mbd3,1
Errfi1,1
Id2,1
Fnbp1,1
Slc35a5,1
Rsf1,-1
Rhbdf2,-1
Herc1,1
Eif3b,1
Herc1,1
Morc3,1
Pim1,1
Rnf103,1
Rbm27,1
Rps6kb1,1
Eif4g1,-1
Med1,1
Rai14,-1
Ahnak,-1
Cic,-1
Sash1,1
Lmna,1
Mtdh,1
Setd1a,1
Eif4enif1,-1
Rfc1,-1
Tfeb,1
Zc3h11a,1
Sin3a,1
Med13,-1
Coil,1
Mindy1,-1
Cct2,1
Dmap1,1
Nfil3,-1
Asf1a,-1
Tbx2,1
Thoc5,1
Traf2,1
Srsf10,-1
Psd4,1
Kiaa1522,-1
Rragc,1
Synj2,1
Znrf2,-1
Rps6kb1,1
Gab2,-1
Nop56,1
Map3k20,-1
Mapk1,-1
Znf106,1
N4bp1,1
Phf2,1
Stk11ip,1
Sh3bp5l,1
Wdfy3,1
Gm26558,1
Clk1,-1
,-1
Plekha2,1
Stat3,-1
Zc3hc1,1
Depdc5,1
Znf106,1
Mepce,-1
Mbp,1
Eef2k,1
Atrx,-1
Irs2,-1
Znf609,1
Cic,1
Rprd2,1
Aff4,1
Kmt2a,1
Phip,1
Twistnb,1
Pdcd4,1
Atg2b,-1
Zzef1,1
Depdc5,1
Nelfa,-1
Tfe3,1
Thrap3,1
Bod1l,1
Mast2,1
Ncoa6,1
Dennd5a,1
Vsir,-1
Rps6kb2,1
Strn,-1
Pcyt1a,1
Trafd1,1
Plekhm1,1
Bcl2l11,1
Bod1l,1
Stk11ip,1
Ahnak,1
Srrm2,1
Eif4b,1
Map3k3,1
Slc9a1,1
Fmn1,1
Ubr5,1
Nek9,1
Ncbp1,1
Vsir,1
Foxo3,1
Ptprn2,1
Fmnl3,1
Mapk1,-1
Ticam2,1
Kmt5b,1
Retreg1d,-1
Srrm1,-1
Dennd2a,1
Gab1,1
Tsc2,1
Phf8,-1
Sun2,1
Gpbp1l1,1
Ctdspl2,1
Ubap1,1
Nfatc2,1
Usp24,1
Ptpra,1
Zfp91,-1
Phip,1
Ahnak,-1
Acin1,-1
Cic,1
Bod1l,-1
Eif4g3,-1
Lrrfip1,1
Rere,1
Oxr1,1
Kat7,1
Cd2ap,-1
Pogz,-1
Pask,1
D1Ertd622e,1
Mtmr3,-1
Chmp2b,1
Gemin8,-1
Znf592,1
Znf280c,-1
Tcof1,1
Hectd1,1
Nbeal2,1
Dync1i2,-1
Ecd,1
Crtc3,1
Epb41l1,1
Slc12a6,1
Rai14,1
Tpgs1,-1
Phactr4,-1
Gcfc2,-1
8030462N17Rik,1
Ckap5,-1
Depdc5,1
Erf,1
Msl3,-1
Zfp36l1,1
Atrx,-1
C2cd5,-1
Arhgap21,-1
Arhgap27,1
Eif3b,1
Hnrnpul2,-1
Lrch3,1
Caap1,1
Arhgap4,1
Zfp91,1
Rps6ka4,1
Ube2e1,-1
Lrrc25,1
Bcl7b,-1
Kidins220,1
Pde3b,1
Dnmt1,1
Dync1i2,1
Larp4b,-1
C2cd5,1
Rb1cc1,-1
Fip1l1,1
Trappc12,-1
Arhgap30,1
Rbbp6,1
Tnks1bp1,1
Eif4b,1
Elmsan1,1
Iqgap2,1
Ppp1r9b,1
Rtcb,-1
Dot1l,1
Prkcd,1
Ckap4,1
Ttc14,1
Rhbdf2,-1
Ilf3,-1
Txnip,-1
Abl2,1
Acin1,1
Ralgapb,1
Eif4e,-1
Rcsd1,-1
Eif4g1,-1
Abi2,1
Nf1,1
Mapk3,-1
Ssfa2,1
Itpr3,-1
Hmga2,1
Kat5,1
Mien1,-1
Spen,1
Ulk1,1
Rbl2,1
Exoc7,1
Apool,-1
Vsir,1
Eif4g1,-1
Ap3d1,1
Hspa4,-1
Psd4,1
Trpv2,1
Szt2,1
Usp34,-1
Gigyf1,1
Ahnak,1
Phrf1,1
Plec,1
Nfatc2,1
Uhrf1bp1l,-1
Abcc4,-1
Nipbl,-1
Arhgef2,1
Vasp,1
Bod1l,1
Plec,1
Reps1,1
Zfp36,1
Dgkz,1
Vipas39,1
Ahnak,1
Soat1,1
Tmx1,1
Hp1bp3,-1
Gigyf2,1
Srrm2,-1
Pdxdc1,-1
Acvrl1,1
Ptprj,1
Wiz,-1
Stim2,-1
Cd200r1,1
Gpnmb,-1
Thoc2,-1
Marf1,-1
Daglb,-1
Rbm7,1
Ankhd1,1
Zfr,1
Ccar1,-1
Cep131,1
Ap4e1,-1
Mllt1,-1
Aspscr1,1
Thrap3,-1
Psmd11,1
Hdgf,-1
Rpap1,1
C2cd5,1
Prkag2,1
Rragd,-1
Eef2k,1
Ncoa3,1
Mefv,1
Gm35339,1
Sipa1l1,-1
Osbpl3,1
5031439G07Rik,1
Rps6ka5,-1
Rb1cc1,-1
Slc16a3,1
Nlrp1a,1
Lima1,1
Reps1,1
Tsc1,1
Rictor,1
Atxn7l3,-1
Pxn,1
Lat2,1
Mier1,1
Tgm1,1
Samsn1,1
Rxrb,1
Tsc1,1
Scaf1,1
Zc3h4,1
Cic,1
Evl,-1
Dmxl1,-1
Arhgap5,1
Senp2,1
Mex3d,-1
Atrx,1
Med1,-1
Tbc1d4,1
Kiaa1522,1
Arhgap45,1
Slc7a11,1
Retreg1d,-1
Zmynd8,-1
Nploc4,-1
Arhgap18,1
C2cd5,1
Pik3r4,-1
Lbr,1
Arfgef1,-1
Arfgef1,-1
Exoc8,-1
Btaf1,1
Cdc42bpb,1
Wsb1,1
Phf14,-1
Cwf19l2,-1
Ppp1r12a,1
Srgap2,1
Rnf20,1
Pcyt1a,1
Raph1,1
Taf10,-1
Pip5k1c,1
Ctnnd1,1
Rb1cc1,-1
Etv3,1
Etv3,-1
Rragc,1
Emg1,-1
Ddx51,1
Parp9,1
Arid3a,-1
Tpr,-1
Ranbp10,-1
Srpk2,-1
Elmsan1,1
Rab8a,-1
Jmjd1c,-1
Washc2,1
Slain2,-1
Prkag2,1
Vcpip1,-1
Lrch4,1
Dab2,1
Tecpr1,-1
Irf3,1
Dok2,1
Ugdh,1
Dnmt1,1
Osbpl11,-1
Fam177a1,-1
Ahnak,1
Smc1a,-1
Hmox1,-1
Macf1,1
Fry,1
Ube2o,1
Foxo4,1
Inpp5f,-1
JPT1,-1
Mapk1,-1
Btbd9,1
Rbbp5,-1
Eif4b,-1
Znf652,-1
Borcs6,1
Tbc1d5,1
Hdac5,1
Dock7,-1
Nfic,-1
Gtf2f1,-1
Dpysl2,-1
Dennd4c,1
Ptpn11,-1
Pex14,1
Reps2,1
Tcf20,1
Rbl2,1
Ranbp3,1
Rb1cc1,-1
Pdlim5,1
Tbc1d16,1
Lilrb4,1
Znf592,-1
Gab1,1
Srrm2,1
Aak1,1
Med1,-1
Med1,-1
Ppig,-1
Zfp36l2,1
Tcea1,-1
Scarf1,1
Smim13,-1
4933434E20Rik,1
Srsf9,1
Evi2b,1
Ncoa5,1
Myo1e,1
Pnn,-1
Nlrc4,1
Zmat1,-1
Fryl,1
Sfswap,1
Spen,-1
Ahnak,1
Smcr8,-1
Phf14,-1
Tcp11l2,1
Atrx,-1
Akap11,1
Irf5,1
Stmn1,-1
Plcl2,1
Wdr37,1
Tnrc18,1
Rsf1,1
Trim3,1
Arid5b,-1
Atp8b2,1
Mycbp2,1
Smarca4,-1
Msl3,-1
Tom1,1
Pdpk1,1
Mapre1,-1
Acin1,-1
Sik3,1
Ankrd11,1
Prkaa1,-1
Slamf7,1
Ubxn2b,1
Crtc2,-1
Cracr2a,1
Nfatc2,-1
Phldb1,1
Snx16,-1
Marcks,1
Myo9b,1
Mef2a,1
Top2b,-1
Abl2,1
Ccny,1
Smarca2,-1
Plek,1
Erbin,-1
Gtf2f1,-1
Mepce,-1
Raph1,-1
Cic,-1
Eml4,-1
Yeats2,1
Nktr,1
Akt1s1,1
Pnn,1
Ankrd17,1
Dapk1,1
Ahnak,-1
Hnrnpf,1
Irf9,1
Rnd3,1
Uba1,-1
Cbl,1
Zfp36l1,1
Arhgef2,1
Tmem184c,1
Luc7l3,-1
Emb,1
Sun2,-1
Zc3h14,1
Fyb1,1
Hnrnpul1,-1
Mtus1,1
Rb1cc1,-1
Pxn,1
Cmklr1,1
Hmgn1,1
Plekhh1,-1
Zc3h13,-1
Ptpn22,1
Scaf11,-1
Nelfe,-1
Raph1,1
Trim33,-1
Eif4b,-1
Nop2,-1
Mycbp2,1
Gab1,1
Kiaa1522,-1
Fam114a2,-1
Tlk1,-1
Cabin1,-1
Ifnar1,-1
Hmgcr,-1
Dpysl2,1
Pcnp,-1
Tmpo,-1
Tbc1d1,-1
Macf1,-1
Ptpra,1
Plekhm1,1
Baz1a,-1
U2af1l4,-1
Bptf,1
Dab2,1
Shtn1,1
Slc39a6,1
Eno1,1
Ulk2,1
Kiaa1522,1
Srek1ip1,1
Pbrm1,1
Numa1,1
Btf3,1
Znf622,1
Gab2,1
Myo1c,-1
Tvp23b,1
Ampd3,1
Supt20,1
Tsc2,1
Kiaa1551,1
Micall2,-1
Ulk1,1
Tbc1d5,1
Fnip1,-1
Eps8,1
Bnip3l,-1
Chmp4b,1
Rictor,1
Pan3,1
Acap3,-1
Kansl1,1
Rapgef6,1
Ehmt2,1
Coro1a,1
Ankle2,-1
Tex2,-1
Rbm39,-1
Ints6,1
Dock2,1
Kiaa1109,1
Plekha2,1
Map4k5,1
Arhgap25,1
Ubtf,-1
Cdkn2aip,-1
Ulk1,1
Sap30,1
Kif13b,-1
Srrm2,1
Fam117b,-1
Fes,1
Cdyl,-1
Dnajb14,-1
Adamts15,-1
Abcf2,1
Mtmr12,1
Inpp5d,1
Ahctf1,1
Trim3,-1
Ranbp1,-1
Bzw1,-1
Nop9,-1
Thrap3,-1
Dcaf5,1
Gm45717,1
Hdgfl2,-1
Rlim,1
Katnb1,1
Med1,1
Epb41l2,-1
Scrib,1
Hist1h1a,1
Sra1,1
Pik3r5,1
Anp32a,1
Scaf11,1
Psd4,1
FAM120A,1
Ehd4,1
Arhgef10l,1
Ubash3b,1
Ehbp1l1,-1
Prkaa1,-1
Irgm2,-1
Eva1b,-1
Hif1a,1
Trim28,-1
Mroh1,-1
Slc9a1,1
Sbno1,-1
Kmt2d,-1
Zdhhc5,-1
Sowahc,-1
Fam208a,1
Tjp2,-1
Synrg,1
Slc9a1,-1
Zbtb11,1
Themis2,1
Prkab2,1
Wdr25,1
Prkab2,-1
Ythdc1,1
Cmc2,-1
Smcr8,1
Pik3r5,-1
Ahnak,-1
Nfatc2,-1
Marcksl1,1
Rps10,1
Xpo6,1
Nudt9,-1
Baiap2,1
Tab3,-1
Pitpnm1,1
Stmn1,-1
Acap3,1
Rela,-1
Phactr4,-1
Prkag2,1
Nipbl,1
Tiam1,1
Foxk1,1
Smarca4,1
Mybbp1a,1
Tra2b,-1
Kat7,-1
Dennd1a,1
Thap4,1
Tra2a,-1
Zfc3h1,1
Rsf1,-1
Taf1,1
Arhgap45,-1
Dab2,-1
Oxr1,1
Nfatc1,1
Acad9,-1
Carhsp1,-1
Uvrag,1
Snx17,1
Srrm2,-1
Ankib1,-1
Eif4b,1
Srrm1,1
Plin3,-1
Haus6,1
Patl1,-1
Wwc2,-1
Rsbn1,-1
Stk10,1
Rgs14,1
Maged2,1
Adam15,1
Dennd1a,1
Acin1,1
Tex2,1
Phf2,1
Tfeb,1
Ralgapb,-1
Ptk2b,-1
Luzp1,-1
Parg,1
Taok1,1
Gpbp1l1,1
Vav1,-1
,-1
Sh3gl1,1
Speg,1
Spag9,-1
Abcb1b,1
Ahnak,1
JPT1,-1
Tldc1,-1
Gcfc2,1
Pank4,1
Kdm3b,1
Dmxl2,1
Mtor,1
Ppp1r12a,1
Lims1,1
Itgb5,1
Casp8ap2,-1
Surf6,-1
Cracr2b,1
Patl1,1
Svil,1
Stk4,1
Jun,1
Zfp318,-1
Pcm1,-1
Slc12a4,1
Ppp1r18,1
Srsf6,-1
Ythdc2,-1
Dnmt1,1
Stradb,-1
Larp1,-1
Ubr5,1
Tcf20,-1
Rubcn,1
Epb41l1,1
Nfatc1,-1
Rps6ka1,-1
Ahnak,1
Trio,-1
Micall2,-1
Prex1,1
Slc25a46,-1
Men1,1
Ccdc28b,-1
Sec14l1,-1
Pcbp1,1
Akr1b1,-1
Asap1,1
Lsp1,-1
Cul4b,1
Eif4ebp1,-1
Retreg1d,-1
Aff4,-1
Atg16l2,-1
Epb41l1,1
Iqsec1,-1
Dennd4c,-1
Dab2,1
Ptpn1,-1
Phf3,1
Osbpl3,1
Zfp788,-1
Znf652,-1
Rab11fip5,1
Arhgap39,1
Ahnak,1
Trim3,1
Nes,-1
Slc4a2,1
Aak1,1
Cmklr1,1
Pphln1,1
Atg14,-1
Sarnp,1
Vps26b,-1
Dcaf8,-1
Bcl2l11,1
Tssc4,1
Acly,1
Smarca4,-1
Ripk1,1
Dmxl1,1
Arhgap31,1
Peak1,1
Dock7,1
Actr10,1
Usp24,1
Elmsan1,-1
Fnip1,1
Ncor1,-1
Znf516,-1
Srgap2,-1
Tns3,-1
Plcg2,-1
Mob3a,1
Phf2,-1
Thumpd2,-1
Cep131,1
Clk3,1
Ralgapa1,1
Kmt2d,-1
Bcl2l13,1
Clasp2,1
Raph1,1
Sp110,-1
Stk26,1
Zbtb21,1
Kdm4b,-1
Med12,1
Bsn,1
Dctn6,-1
Tns1,1
Leo1,-1
Itsn1,1
Rfx7,-1
Xpr1,1
Tcf20,-1
Tacc2,-1
Nbeal2,1
Epb41l1,1
Rftn1,1
Msl2,1
Myo1e,1
Tcf12,-1
Ahnak,1
Xpc,1
Arhgap17,1
Vps13d,1
Bod1l,1
Mertk,1
Arhgap12,1
Hcls1,1
Rps6ka4,-1
Vapa,-1
Akt1s1,1
Vps50,1
Pnisr,1
Speg,1
Hdac5,1
Mapkap1,1
Insr,-1
Wdr62,1
Atxn2,-1
Phf14,-1
Evi5l,-1
Eprs,1
Cep170,-1
Rreb1,1
Cd44,1
Acap2,1
Tbc1d10a,-1
Acap1,1
Snap23,-1
Atf7,-1
Nup35,1
Htatsf1,1
Parp8,1
Exoc4,-1
Abl2,1
Ifngr1,1
Cat,-1
Rps6kc1,1
Tesk1,-1
Tns1,-1
Cnr2,1
Zc3h12c,-1
Tpr,-1
Ehbp1,1
Pnn,1
Rpl7,1
Sestd1,1
Ahnak,1
Map3k4,1
Eps15l1,-1
Pclo,-1
Arhgap25,1
Peak1,-1
Dip2b,1
Ccnl2,-1
Mtor,1
Slc12a6,1
Hcls1,1
Mark3,1
Hnrnpc,1
Dock2,1
Arhgap6,-1
Fgd2,-1
Znf639,1
Myo1f,1
Sdccag8,-1
Gas2l1,1
Bod1l,-1
Rptor,1
Mapkbp1,-1
Stk4,1
Clasp1,-1
Epsti1,1
Ylpm1,-1
Rp2,1
Vsir,-1
Mdc1,-1
Hdgfl2,1
Tfeb,1
Zc3hc1,-1
Ankrd13c,1
Cttnbp2nl,1
Hivep3,1
Arhgap45,-1
Mtss1,1
Dennd4c,1
Cbl,1
Brd8,-1
Bcr,1
Ankzf1,1
Stk24,1
Mef2a,-1
Mia2,-1
Traf3ip1,1
Atf7ip,-1
Eps15,1
Trip12,1
Slc45a4,1
Kmt2d,1
Peak1,1
Tacc1,-1
Hivep3,1
Cdk13,-1
Tgoln1,1
