Uniprot_A	Uniprot_B	Gene_A	Gene_B	pmid:method:quality:type	taxid	high_quality	in_pdb_source
A0A087WPF7	Q9CQJ4	Auts2	Rnf2	25519132:0006:LC:binary|34637754:0006:LC:binary	10090	True	False
A0A087WRI3	A0A087WRI3	Cfap77	Cfap77	37295417:0114:LC:binary	10090	True	True
A0A087WRI3	P05214	Cfap77	Tuba3a	37295417:0114:LC:binary|37989994:0114:LC:binary	10090	True	True
A0A087WRI3	P68372	Cfap77	Tubb4b	37295417:0114:LC:binary|37989994:0114:LC:binary	10090	True	True
A0A087WRI3	Q6P8X9	Cfap77	Cfap126	37295417:0114:LC:binary|37989994:0114:LC:binary	10090	True	True
A0A087WRI3	Q920N1	Cfap77	Cimap1a	37295417:0114:LC:binary	10090	True	True
A0A087WRI3	Q9D439	Cfap77	Cfap53	37295417:0114:LC:binary	10090	True	True
A0A087WRI3	Q9D4K7	Cfap77	Tektl1	37295417:0114:LC:binary|37989994:0114:LC:binary	10090	True	True
A0A0B4J1L0	A0A0B4J1L0	Ceacam15	Ceacam15	PDB_4JGJ:0114:LC:binary	10090	True	True
A0A0E4B366	A0A0U5BC76	HC	LC	29379174:0114:LC:binary	10090	True	True
A0A0E4B366	Q7TS98	HC		30742080:0114:LC:binary	10090	True	True
A0A0G2JF94	P01900	Trav14-1	H2-D1	PDB_6G9Q:0114:LC:binary	10090	True	True
A0A0G2JF94	Q64237	Trav14-1	Dbh	PDB_6G9Q:0114:LC:binary	10090	True	True
A0A0M3KL48	A0A0M3KL49			26542571:0114:LC:binary	10090	True	True
A0A0M3KL49	A0A0M3KL49			26542571:0114:LC:binary	10090	True	True
A0A0U5BC76	A0A0U5BC76	LC	LC	27226599:0114:LC:binary|30571096:0114:LC:binary	10090	True	True
A0A0U5BC76	P01863	LC	Ighg	27226599:0114:LC:binary|31962046:0114:LC:binary	10090	True	True
A0A0U5BC76	Q99LC4	LC	Igh	30571096:0114:LC:binary	10090	True	True
A0A140LI88	A0A140LI88	Ankrd31	Ankrd31	31003867:0114:LC:binary	10090	True	True
A0A140LI88	Q9CWH4	Ankrd31	Rec114	31003867:0114:LC:binary	10090	True	True
A0A140LIW3	Q62108	Frmpd3	Dlg4	19455133:0007:LC:binary|28671696:0006:LC:binary	10090	True	False
A0A2R8VHF7	D3Z338	Tmem249	Tmem262	34225353:0114:LC:binary	10090	True	True
A0A2R8VHF7	Q8BVN3	Tmem249	Catsper4	34225353:0114:LC:binary	10090	True	True
A0A5E3	P01863	LOC100046793	Ighg	12729744:0114:LC:binary	10090	True	True
A0A5E3	P01867	LOC100046793	Ighg2b	PDB_1HQ4:0114:LC:binary	10090	True	True
A0JLY1	A0JLY1	Cfap210	Cfap210	37295417:0114:LC:binary|37865089:0114:LC:binary	10090	True	True
A0JLY1	D2D553	Cfap210	Fam183b	37295417:0114:LC:binary	10090	True	True
A0JLY1	P05214	Cfap210	Tuba3a	37295417:0114:LC:binary	10090	True	True
A0JLY1	P68369	Cfap210	Tuba1a	37865089:0114:LC:binary	10090	True	True
