Auts2	Rnf2
Cfap77	Cfap77
Cfap77	Tuba3a
Cfap77	Tubb4b
Cfap77	Cfap126
Cfap77	Cimap1a
Cfap77	Cfap53
Cfap77	Tektl1
Ceacam15	Ceacam15
HC	LC
Trav14-1	H2-D1
Trav14-1	Dbh
LC	LC
LC	Ighg
LC	Igh
Ankrd31	Ankrd31
Ankrd31	Rec114
Frmpd3	Dlg4
Tmem249	Tmem262
Tmem249	Catsper4
LOC100046793	Ighg
LOC100046793	Ighg2b
Cfap210	Cfap210
Cfap210	Fam183b
Cfap210	Tuba3a
Cfap210	Tuba1a
Cfap210	Tubb4b
Cfap210	Cfap52
Cfap210	Enkur
Cfap210	Spaca9
Cfap210	Cfap45
Bicdl1	Bicdl1
Vk	Vk
Mpeg1	Mpeg1
Pkd2l1	Pkd2l1
Pkd2l1	Pkd1l3
Cplane2	Fuz
Prdm16	Cebpb
Med14	Med16
Med14	Med23
Med14	Med17
Med14	Med28
Med14	Med6
Med14	Med15
Med14	Med21
Med14	Med4
Med14	Med31
Med14	Med7
Med14	Med27
Med14	Med29
Med14	Med20
Med12	Cdk8
Cimip2b	Tuba1a
Cimip2b	Tubb4b
Duox1	Duox1
Duox1	Duoxa1
Ralgps1	Ralgps1
Catsper2	Catsperd
Catsper2	Catspere
Catsper2	Catsper3
Catsper2	Catsper4
Lrp2	Lrp2
Agrn	Agrn
Ttn	Ttn
Ttn	Myh7
Ttn	Ankrd1
Rad21l1	Smc1b
Mga	Max
Arid1a	Smarca4
Kalrn	Syngap1
Kalrn	Shank3
Kalrn	Dlg4
Kalrn	Dlgap1
Igh-V7183	Igh-V7183
Dennd3	Dennd3
Catsperb	Catsperg2
Catsperb	Tmem262
Catsperb	Catsperd
Catsperb	Catsper4
Cxcl1	Cxcr2
Ttll6	Ttll6
Tektip1	Tekt4
Tektip1	SPMIP6
Tektip1	Cfap161
Tektip1	Tekt3
Tektip1	Tekt2
Tektip1	Tekt1
Spocd1	Spocd1
Gnai1	Dlg4
Ptprb	Cdh5
Ep300	Tp53
Ep300	Rela
Ep300	Kat2b
Tut4	Lin28a
Itpkb	Itpkb
Plxnb2	Plxnb2
Syce3	Syce3
Syce3	Syce2
Syce3	Syce1
Sult6b2	Sult6b2
Qtrt2	Qtrt2
Qtrt2	Qtrt1
Cttnbp2	Shank3
H2ac4	H2ac4
H2ac4	H4c1
H2ac4	H3c1
H2ac4	H3-3a
H2ac4	H2bc4
H2ac4	H2bu2
H2ac7	H2ac7
H2ac7	H4c1
H2ac7	H3-3a
H2ac7	H2bc4
Catsperg2	Catsperd
Catsperg2	Catspere
Catsperg2	Catsper4
Fam183b	Tuba3a
Fam183b	Tubb4b
Fam183b	Cfap45
Shank1	Syngap1
Shank1	Shank3
Shank1	Dlg4
Shank1	Dlgap1
Tmem262	Catsper4
Gls	Gls
Piezo1	Piezo1
Piezo1	Mdfic
Rasa1	Dok2
Znf568	Znf568
Pkhd1	Pkd2
Ryr1	Ryr1
Ryr1	Ryr2
Ryr1	Fkbp1a
Ryr1	S100a1
Kank1	Eif4a1
Kank1	Kif21a
Cenpf	Snap25
Cenpf	Nde1
Ryr2	Ryr2
Ryr2	Prkaca
Ryr2	Camk2d
Ryr2	Fkbp1b
Arid1b	Smarca4
Catsperd	Catspere
Catsperd	Catsper3
Pdzd7	Pdzd7
Pdzd7	Fchsd2
Syngap1	Syngap1
Syngap1	Dpysl2
Syngap1	Cntnap1
Syngap1	Epb41l2
Syngap1	Cacng2
Syngap1	Camk2a
Syngap1	Glul
Syngap1	Prkce
Syngap1	Gnao1
Syngap1	Gria1
Syngap1	Gria2
Syngap1	Camk2b
Syngap1	Grin2a
Syngap1	Grin1
Syngap1	Pura
Syngap1	Rab2a
Syngap1	Slc1a3
Syngap1	Rab10
Syngap1	Arf3
Syngap1	Ywhag
Syngap1	Ywhae
Syngap1	Kcnab2
Syngap1	Rab3c
Syngap1	Rab3a
Syngap1	Ywhaz
Syngap1	Prkcg
Syngap1	Ywhah
Syngap1	Dlg3
Syngap1	Arf5
Syngap1	Grin2b
Syngap1	Grin2d
Syngap1	Agap2
Syngap1	Plcl1
Syngap1	Fam81a
Syngap1	Shank3
Syngap1	Iqsec2
Syngap1	Cnrip1
Syngap1	Adam9
Syngap1	Kcna4
Syngap1	Dlg4
Syngap1	Sptbn1
Syngap1	Begain
Syngap1	Sptbn2
Syngap1	Dlgap3
Syngap1	Cyfip1
Syngap1	Lrrc7
Syngap1	Ubr5
Syngap1	Ddn
Syngap1	Dgkz
Syngap1	Fbxo2
Syngap1	Dlg1
Syngap1	Anks1b
Syngap1	Dlgap2
Syngap1	Dmxl2
Syngap1	Btbd9
Syngap1	Cacnb2
Syngap1	Adgrb2
Syngap1	Synj1
Syngap1	Iqsec1
Syngap1	Dlg2
Syngap1	Basp1
Syngap1	Dlgap1
Syngap1	Dync1h1
Syngap1	Praf2
Syngap1	Cul3
Syngap1	Kcnj10
Syngap1	Gda
Syngap1	Adam22
Syngap1	Gria3
Morc3	Morc3
Morc3	H3c1
Aox3	Aox3
Tekt5	Tekt5
Tekt5	Tuba3a
Tekt5	Tekt4
Tekt5	Mns1
Tekt5	Tekt3
Tekt5	Tekt2
Tekt5	Cfap53
Tekt5	Efhc2
Tekt5	Cimip2a
Tekt5	Dusp21
Tekt5	Spmip9
Tekt5	Nme7
Igk	Igk
Igk	Ighg
Igk	Igh-1a
Igk	Ighg1
Top6bl	Rec114
Kif14	Kif14
Efna5	Ephb2
Sec22b	Sec22b
Dpysl2	Dpysl2
Lgals9	Lgals9
Esrra	Esrra
Gtpbp1	H2-K1
Pten	Uba52
Endog	Endog
Raet1b	Raet1b
Raet1b	Klrk1
Raet1c	Raet1c
Mlx	Mlxip
Map3k4	Axin1
Sema3a	Sema3a
Sema3a	Plxna2
Sema3a	Nrp1
Sema3a	Plxna4
F2rl2	F2
Barx2	Atf2
Barx2	Creb1
Mstn	Mstn
Tnfrsf11b	Tnfsf11
Bak1	Bak1
Bak1	Bcl2a1
Bak1	Mfn2
Ogg1	Ogg1
Prss12	Prss12
Clock	Clock
Clock	Per2
Clock	Cry1
Clock	Cipc
Clock	Sirt1
Clock	Cry2
Clock	Bmal1
Clock	Bmal1
Dctn1	Cep290
Prkcsh	Ganab
Prkcsh	Ganab
Prdx4	Prdx4
Diaph1	Diaph1
Diaph1	Ppfia3
Diaph1	Cdc42
Diaph1	Pfn2
Pik3r2	Pik3cb
Galnt1	Galnt1
Aip	Hsp90ab1
Aip	Ahr
Cyth3	Cyth3
Mras	Mras
Ncoa3	Carm1
Snap23	Vamp2
Psmb1	Psmb1
Psmb1	Psmb10
Psmb1	Psmb5
Psmb1	Psmb8
Psmb1	Psmb7
Psmb1	Psmb4
Psmb1	Psmb3
Psmb1	Psma1
Psmb1	Psma5
Gata2	Tal1
Hdac1	Zbtb7a
Hdac1	Tal1
Hdac1	Nfkb1
Hdac1	Sox2
Hdac1	Hdac2
Hdac1	Sin3a
Hdac1	Ezh2
Hdac1	Kdm1a
Hdac1	Rcor1
Hdac1	Satb2
Hdac1	Mta2
Lhb	Egr1
Map2k3	Mapk14
Ndufb11	mt-Nd2
Ndufb11	Mtnd4
Ndufb11	Mtnd5
Ndufb11	Ndufb6
Ndufb11	Ndufs2
Ndufb11	Ndufa10
Ndufb11	Ndufc2
Ndufb11	Ndufb4
Ndufb11	Ndufb5
Ndufb11	Ndufb9
Ndufb11	Ndufb8
Ndufb11	Ndufb10
Ptgds	Ptgds
Ntn1	Dscam
Epha8	Sash1
Nfatc2ip	Nfatc2ip
Rpl21	Rpl7
Rpl21	Rpl18
Rpl21	Rpl29
Rpl21	Rpl5
Rpl21	Rpl18a
Rpl21	Rpl10l
Rpl21	Rpl10
Cnih2	Gria1
Cnih2	Gria2
Phb2	Dlg4
Smad6	Bmpr1b
Smad6	Peli1
Ddt	Ddt
Psmd4	Ubc
Ebi3	Ebi3
Ebi3	Il27ra
Ebi3	Il12a
Ebi3	Il27
Tnfsf11	Tnfsf11
Tnfsf11	Tnfrsf11a
Tnfsf11	Tnfrsf11a
Smad7	Smad7
Aoah	Aoah
Tnfrsf11a	Tnfrsf11a
Tnfrsf11a	Traf2
Tnfrsf11a	Traf5
Tnfrsf11a	Traf6
Hs3st1	Hs3st1
Sult3a1	Sult3a1
Pld3	Pld3
Agxt	Agxt
Prrt1	Dlg4
Sema6a	Sema6a
Sema6a	Plxna2
Sema6a	Plxna4
Sema6a	Sema6a
Sema6a	Plxna2
Azin1	Azin1
Crygs	Crygs
Stx1a	Snap25
Stx1a	Vamp2
Rabep1	Rabgef1
Psmd14	Ubc
Daxx	Fas
Daxx	H3-3a
Daxx	Dmap1
Zfpm1	Gata1
Mdm4	Tp53
Mdm4	Mdm2
Axin1	Axin1
Axin1	Lrp6
Axin1	Map3k1
Axin1	Ppp2ca
Axin1	Dab2
Axin1	Ctnnb1
Axin1	Tnks
Axin1	Lrp5
Axin1	Gsk3b
Nr1i3	Nr1i3
Neu1	Neu1
Hap1	Ahi1
Mrps12	Mrps17
Mrps12	Mrps25
Ndufa1	Mtnd1
Ndufa1	mt-Nd3
Ndufa1	Mtnd6
Ndufa1	Ndufaf2
Ndufa1	Ndufa12
Ndufa1	Ndufs8
Ndufa1	Ndufs5
Ndufa1	Ndufa8
Ndufa1	Ndufa13
Ndufa1	Ndufa7
Serpini1	Serpini1
Tnfrsf18	Tnfrsf18
Tnfrsf18	Tnfsf18
Socs1	Kit
Socs1	Csf1r
Socs1	Ifngr1
Socs1	Elob
Socs1	Eloc
Socs1	Rela
Socs1	Jak2
Socs2	Cish
Socs3	Elob
Socs3	Eloc
Socs3	Il6st
Socs3	Jak2
Socs3	Cul5
Ring1	Pcgf2
Ring1	Cbx2
Ring1	Rybp
Ring1	Rnf2
Ring1	Phc2
Ring1	Cbx8
Cops5	Cdkn1b
Pik3cd	Pik3cd
Pik3cd	Hras
Gp1ba	Gp1ba
Psmb10	Psmb8
Psmb10	Psmb9
Psmb10	Psma2
Psmb10	Psmb4
Psmb10	Psma6
Psmb10	Psma4
Psmb10	Psmb3
Rab33b	Rab33b
Rab33b	Atg16l1
Per1	Per1
Per1	Per2
Per1	Cry1
Per1	Csnk1e
Per1	Cry2
Per1	Timeless
Klrk1	Klrk1
Pias3	Gfi1
Cavin1	Cavin1
Dapk3	Dapk3
Dapk3	Atf4
Dffa	Dffb
Mafg	Mafg
Mafg	Bach1
Rgs9	Gnb5
Suv39h1	Cbx3
Suv39h1	Cbx5
Tyrobp	Plxna1
Cd200	Cd200r1
Bcl2l11	Bcl2
Bcl2l11	Mcl1
Bcl2l11	Bcl2l1
Smarce1	Smarcc1
Smarce1	Smarca4
Per2	Per2
Per2	Cry1
Per2	Fbxl3
Per2	Csnk1e
Per2	Cry2
Per2	Bmal1
Tnk2	Ubc
Cbfa2t3	Tal1
Crym	Crym
Trappc3	Trappc1
Trappc3	Trappc2
Impa1	Impa1
Copb2	Copa
Copb2	Copb1
Copb2	Copg1
Nck2	Dok2
Nck2	Efnb1
Snca	Abl1
Tpmt	Tpmt
Nipsnap2	Ubc
Sap18	Sap18
Rpl35a	Rpl13a
Rpl35a	Rpl6
Rpl35a	Rpl18a
Rpl35a	Rpl32
Ldb2	Ssbp3
Ilk	Lims1
Ilk	Parva
Ilk	Parvb
Psmb5	Psmb3
Psmb5	Psmb2
Psmb5	Psma7
Psmb5	Psma5
Rngtt	Rngtt
Nnmt	Nnmt
Pip5k1c	Tln1
Chrna4	Lypd1
Chrna4	Chrnb2
Lnx1	Igsf5
Lnx1	Numb
Ptp4a2	Cnnm3
Ppargc1a	Cebpb
Ppargc1a	Nr5a1
Ppargc1a	Creb1
Ppargc1a	Sirt1
Per3	Per3
Ctss	Ctss
Cbfa2t2	Tal1
Il27ra	Il27
Ulk1	Ulk1
Ulk1	Atg13
Ulk1	Fundc1
Ulk1	Rb1cc1
Ulk1	Mtor
