geneSymbol,final_state
2810474O19Rik,1.0
2900026A02Rik,1.0
5031439G07Rik,-1.0
8030462N17Rik,-1.0
Septin9,-1.0
AB124611,1.0
Aak1,-1.0
Abcc4,-1.0
Abcf2,-1.0
Abhd15,1.0
Abi1,-1.0
Abi2,-1.0
Abl1,-1.0
Abl2,1.0
Abraxas2,1.0
Acin1,-1.0
Acly,1.0
Acot11,1.0
Actr10,1.0
Adar,-1.0
Add1,1.0
Add3,-1.0
Adnp,1.0
Afdn,-1.0
Aff1,-1.0
Aff4,1.0
Agap1,1.0
Agap3,-1.0
Agfg1,-1.0
Ahctf1,1.0
Ahdc1,1.0
Ahnak,1.0
Ahnak2,1.0
Ahsg,-1.0
Akap10,1.0
Akap11,-1.0
Akap13,1.0
Akap2,1.0
Akap8,1.0
Akap8l,-1.0
Akip1,1.0
Akna,1.0
Aldh1l1,1.0
Alkbh3,1.0
Alkbh5,1.0
Alms1,1.0
Alpk1,-1.0
Anapc1,1.0
Ank2,1.0
Ankhd1,1.0
Ankib1,-1.0
Ankle2,1.0
Ankrd10,1.0
Ankrd11,-1.0
Ankrd33b,-1.0
Ankrd50,1.0
Ankrd55,-1.0
Anks1a,-1.0
Ano8,-1.0
Ap1m1,-1.0
Ap3b1,-1.0
Ap3d1,-1.0
Ap4e1,-1.0
Apba1,1.0
Apc,1.0
Api5,1.0
Apobr,1.0
Apoe,-1.0
Appl2,-1.0
Araf,-1.0
Arap1,1.0
Arap3,1.0
Arfgap1,-1.0
Arfgap3,1.0
Arfgef2,1.0
Arfgef3,-1.0
Arfip1,1.0
Arhgap1,1.0
Arhgap12,1.0
Arhgap19,1.0
Arhgap21,1.0
Arhgap25,1.0
Arhgap27,1.0
Arhgap30,1.0
Arhgap31,1.0
Arhgap39,1.0
Arhgap4,1.0
Arhgap45,1.0
Arhgap5,-1.0
Arhgdia,-1.0
Arhgef1,1.0
Arhgef11,1.0
Arhgef12,1.0
Arhgef2,1.0
Arhgef7,1.0
Arid5b,1.0
Arl3,1.0
Asap1,1.0
Asf1a,-1.0
Asxl2,1.0
Atad2,1.0
Atf7,1.0
Atg16l1,1.0
Atg16l2,-1.0
Atg2b,-1.0
Atg9a,1.0
Atp6v1c1,-1.0
Atrip,1.0
Atxn2,-1.0
Atxn2l,1.0
Atxn7,-1.0
Axin1,1.0
Bag3,1.0
Baiap2,-1.0
Baz2a,1.0
Bbx,1.0
Bcas3,1.0
Bcl2l11,1.0
Bclaf1,-1.0
Bclaf3,1.0
Bcr,1.0
Bet1,1.0
Bmp2k,-1.0
Bnip3l,1.0
Bod1l,-1.0
Bola1,-1.0
Bptf,1.0
Braf,1.0
Brd4,-1.0
Brwd1,-1.0
Bsn,-1.0
Btf3,-1.0
Btrc,1.0
Bzw1,-1.0
C2cd2,1.0
C2cd2l,1.0
C2cd5,-1.0
Cabin1,1.0
Cables1,-1.0
Cactin,-1.0
Cad,-1.0
Camkk2,1.0
Camsap1,1.0
Camsap2,1.0
Cap1,-1.0
Capn15,1.0
Caprin1,1.0
Capzb,1.0
Card11,-1.0
Card6,-1.0
Carhsp1,-1.0
Carmil1,1.0
Caskin2,1.0
Casp8,-1.0
Cast,1.0
Cblb,1.0
Cbx1,1.0
Cbx3,-1.0
Cbx4,1.0
Cbx5,1.0
Cc2d1b,1.0
Ccar2,-1.0
Ccdc115,1.0
Ccdc124,1.0
Ccdc130,1.0
Ccdc186,1.0
Ccdc50,1.0
Ccdc6,1.0
Ccdc71l,-1.0
Ccdc88a,1.0
Ccdc88b,1.0
Ccdc9,1.0
Ccl9,-1.0
Ccnl1,1.0
Ccnt1,1.0
Ccnt2,1.0
Ccpg1,1.0
Ccser2,1.0
Cct2,1.0
Ccz1,-1.0
Cd200r1,1.0
Cd28,1.0
Cd2ap,1.0
Cd3eap,1.0
Cdan1,-1.0
Cdc37,-1.0
Cdc42ep4,1.0
Cdk12,-1.0
Cdk13,1.0
Cdk14,-1.0
Cdk17,-1.0
Cdk18,-1.0
Cdkn2aip,1.0
Cdt1,-1.0
Cdv3,1.0
Cdyl,1.0
Cenpa,-1.0
Cep128,1.0
Cep131,1.0
Cep135,1.0
Cep170,1.0
Cep170b,-1.0
Cep295,1.0
Cep350,1.0
Cfl1,1.0
Cgnl1,1.0
Champ1,1.0
Chd1,-1.0
Chd7,1.0
Chd8,1.0
Chmp2b,1.0
Cic,1.0
Ciz1,1.0
Ckap5,-1.0
Clasp1,-1.0
Clasp2,1.0
Clic1,1.0
Clip2,-1.0
Cluh,1.0
Cnp,-1.0
Cntrob,1.0
Cobll1,1.0
Cog1,1.0
Cog7,1.0
Col4a3bp,1.0
Copg1,1.0
Coro1a,1.0
Coro1b,1.0
Coro1c,1.0
Cracr2b,-1.0
Creb1,1.0
Crtc1,-1.0
Crybg1,-1.0
Crybg3,-1.0
Csf1r,-1.0
Csf2rb,-1.0
Csf3r,1.0
Csnk1d,1.0
Ctdp1,-1.0
Ctla2b,1.0
Ctnna1,-1.0
Ctnnb1,1.0
Ctnnd1,1.0
Cttnbp2nl,1.0
Cul4b,1.0
Cux1,1.0
Cwc27,1.0
Cxxc1,-1.0
Cyld,1.0
Cysltr1,-1.0
Cytip,1.0
D10Wsu102e,-1.0
D1Ertd622e,1.0
D5Ertd579e,1.0
D6Wsu163e,1.0
Dapk1,1.0
Daxx,-1.0
Dbnl,1.0
Dbr1,-1.0
Dcaf11,-1.0
Dcaf8,-1.0
Dctn1,1.0
Dcun1d1,1.0
Dda1,1.0
Ddi2,1.0
Ddx17,1.0
Ddx20,1.0
Ddx28,1.0
Ddx3x,1.0
Dedd,1.0
Dennd1a,1.0
Dennd1b,-1.0
Dennd4a,-1.0
Dennd4b,-1.0
Dennd4c,-1.0
Dennd5a,-1.0
Depdc7,1.0
Dhx38,1.0
Dido1,-1.0
Dip2b,1.0
