"source","target","edge_type","edge_name","edge_value"
"Irf5","Tnf","GErel","expression","-->"
"Irf7","Ifna1","GErel","expression","-->"
"Irf7","Ifnb1","GErel","expression","-->"
"Irf3","Cd40","GErel","expression","-->"
"Irf3","Cd80","GErel","expression","-->"
"Irf3","Cd86","GErel","expression","-->"
"Irf3","Ifnb1","GErel","expression","-->"
"Irf3","Cxcl10","GErel","expression","-->"
"Irf3","Cxcl11","GErel","expression","-->"
"Tlr2","Rac1","PPrel","activation","-->"
"Myd88","Fadd","PPrel","activation","-->"
"Fadd","Casp8","PPrel","activation","-->"
"Cd14","Tlr4","PPrel","activation","-->"
"Tlr4","Myd88","PPrel","activation","-->"
"Traf6","Map3k7","PPrel","activation","-->"
"Traf6","Irf5","PPrel","activation","-->"
"Tlr4","Ticam2","PPrel","activation","-->"
"Ticam2","Ticam1","PPrel","activation","-->"
"Tlr5","Myd88","PPrel","activation","-->"
"Myd88","Irak1","PPrel","activation","-->"
"Tlr9","Myd88","PPrel","activation","-->"
"Tlr3","Ticam1","PPrel","activation","-->"
"Ticam1","Traf3","PPrel","activation","-->"
"Traf6","Irf5","PPrel","activation","-->"
"Traf6","Irf7","PPrel","activation","-->"
"Irak4","Traf6","PPrel","binding/association","---"
"Irak4","Irak1","PPrel","activation","-->"
"Irak1","Irf7","PPrel","activation","-->"
"Myd88","Fadd","PPrel","activation","-->"
"Tlr1","Tlr2","PPrel","binding/association","---"
"Tlr6","Tlr2","PPrel","binding/association","---"
"Ly96","Tlr4","PPrel","binding/association","---"
"Nfkbia","Nfkb1","PPrel","inhibition","--|"
"Tlr7","Myd88","PPrel","binding/association","---"
"Ripk1","Traf6","PPrel","inhibition","--|"
"Tab1","Tab2","PPrel","binding/association","---"
"Tab1","Map3k7","PPrel","binding/association","---"
"Map3k8","Nfkb1","PPrel","inhibition","--|"
"Map3k8","Map2k1","PPrel","phosphorylation","+p"
"Map2k1","Mapk1","PPrel","phosphorylation","+p"
"Map2k3","Mapk11","PPrel","phosphorylation","+p"
"Map2k4","Mapk10","PPrel","phosphorylation","+p"
"Mapk10","Fos","PPrel","phosphorylation","+p"
"Rac1","Pik3ca","PPrel","activation","-->"
"Stat1","Cxcl9","GErel","expression","-->"
"Irf5","Il1b","GErel","expression","-->"
"Irf5","Il6","GErel","expression","-->"
"Irf5","Il12a","GErel","expression","-->"
"Irf5","Ccl5","GErel","expression","-->"
"Irf5","Ccl3","GErel","expression","-->"
"Irf5","Ccl4","PPrel","",""
"Chuk","Irf7","PPrel","phosphorylation","+p"
"Spp1","Irf7","PPrel","activation","-->"
"Mapk11","Fos","PPrel","activation","-->"
"Mapk1","Fos","PPrel","activation","-->"
"Irf3","Cxcl9","GErel","expression","-->"
"Fos","Tnf","GErel","expression","-->"
"Fos","Il1b","GErel","expression","-->"
"Fos","Il6","GErel","expression","-->"
"Fos","Il12a","GErel","expression","-->"
"Fos","Ccl5","GErel","expression","-->"
"Fos","Ccl3","GErel","expression","-->"
"Fos","Ccl4","GErel","expression","-->"
"Nfkb1","Tnf","GErel","expression","-->"
"Nfkb1","Il1b","GErel","expression","-->"
"Nfkb1","Il6","GErel","expression","-->"
"Nfkb1","Il12a","GErel","expression","-->"
"Nfkb1","Ccl5","GErel","expression","-->"
"Nfkb1","Ccl3","GErel","expression","-->"
"Nfkb1","Ccl4","GErel","expression","-->"
"Ikbkb","Nfkbia","PPrel","phosphorylation","+p"
"Map3k7","Ikbkb","PPrel","activation","-->"
"Map3k7","Map2k3","PPrel","activation","-->"
"Map3k7","Map2k4","PPrel","activation","-->"
"Pik3ca","Akt1","PPrel","activation","-->"
"Akt1","Nfkb1","PPrel","activation","-->"
"Tlr2","Rac1","PPrel","activation","-->"
"Irf5","Ifna1","GErel","expression","-->"
"Irf5","Ifnb1","GErel","expression","-->"
"Ifna1","Ifnar1","PPrel","activation","-->"
"Ifnb1","Ifnar1","PPrel","activation","-->"
"Ifnar1","Jak1","PPrel","activation","-->"
"Ifnar1","Tyk2","PPrel","activation","-->"
