Gene_A,Gene_B,posterior_edge
Auts2,Rnf2,0.6780853619274622
Rnf2,Ring1,0.9222805986196162
Rnf2,Pcgf2,0.9283518158134098
Rnf2,Bmi1,0.8498718400107692
Rnf2,Max,0.7329720682024684
Rnf2,L3mbtl2,0.6780853619274622
Rnf2,Phc1,0.8546289291867947
Rnf2,Rybp,0.7958287959928866
Rnf2,Scmh1,0.6863778694282534
Rnf2,Cbx7,0.7329731665939931
Rnf2,Rnf2,0.9688143357454402
Rnf2,Phc2,0.9054696990647121
Rnf2,Cbx8,0.8721729610151293
Cfap77,Cfap77,0.9359277580713516
Cfap77,Tuba3a,0.966866018291745
Cfap77,Tubb4b,0.9668660182913213
Cfap77,Cfap126,0.9235328602284644
Cfap77,Cimap1a,0.9203561753507119
Cfap77,Cfap53,0.966284403595745
Cfap77,Tektl1,0.9040111653646219
Tuba3a,Cfap210,0.9866877313985138
Tuba3a,Fam183b,0.8272889670842878
Tuba3a,Tekt5,0.999834348928499
Tuba3a,Tuba3a,0.9999999999997986
Tuba3a,Tubb4b,0.999999999999345
Tuba3a,Saxo4,0.9995802985403546
Tuba3a,Tekt4,0.9999523345729775
Tuba3a,Spag8,0.988308638605467
Tuba3a,Cfap107,0.9448573767164359
Tuba3a,Pierce1,0.786140716896587
Tuba3a,Cfap52,0.9840408729340906
Tuba3a,Mns1,0.9934983143059303
Tuba3a,Spmip8,0.8342845966862398
Tuba3a,Efcab6,0.8146588668886868
Tuba3a,Cfap126,0.9535914412640197
Tuba3a,Cfap161,0.9984068630098117
Tuba3a,Enkur,0.9910181546080197
Tuba3a,Tekt3,0.9999655568688184
Tuba3a,Spaca9,0.9180122055489096
Tuba3a,Cfap20,0.8125254558623035
Tuba3a,Spmip11,0.6949819824312984
Tuba3a,Efhb,0.9976061596008824
Tuba3a,Cimap1a,0.9501893036557028
Tuba3a,Tssk6,0.5070878959861618
Tuba3a,Cfap95,0.9871908491623559
Tuba3a,Spmip5,0.9615092970354107
Tuba3a,Ribc1,0.996157029431661
Tuba3a,Cfap68,0.9175908969882731
Tuba3a,Cfap53,0.9993771074854454
Tuba3a,Efhc2,0.9997471240551951
Tuba3a,Cimip2a,0.9999163858720367
Tuba3a,Tektl1,0.9326842707922172
Tuba3a,Ribc2,0.9974301914942734
Tuba3a,Cfap141,0.9736037018362754
Tuba3a,Spmip10,0.8100789679529107
Tuba3a,Efhc1,0.9999389247418318
Tuba3a,Cfap45,0.9893484617313453
Tuba3a,Cfap276,0.9423899545290298
Tuba3a,Spmip9,0.9995874796903924
Tuba3a,Tekt1,0.9982446023008625
Tuba3a,Pacrg,0.721003131118056
Tuba3a,Cfap90,0.9103966320324084
Tuba3a,Cimip2c,0.9963473096317554
Tuba3a,Nme7,0.9992321549475524
Tuba3a,PIERCE2,0.786140716896587
Tubb4b,Cfap210,0.9866877313980722
Tubb4b,Cimip2b,0.6267984192225188
Tubb4b,Fam183b,0.8272889670839907
Tubb4b,Tuba1a,0.9999999739015523
Tubb4b,Tubb4b,0.9999999999988913
Tubb4b,Saxo4,0.9995802985399014
Tubb4b,Tekt4,0.9999523345725239
Tubb4b,Spag8,0.9883086386050238
Tubb4b,Cfap107,0.9448573767160322
Tubb4b,Pierce1,0.7861407168963275
Tubb4b,Cfap52,0.9840408729336516
Tubb4b,Mns1,0.9934983143054824
Tubb4b,Spmip8,0.8342845966859366
Tubb4b,Efcab6,0.8146588668884014
Tubb4b,Cfap126,0.9535914412636083
Tubb4b,Cfap161,0.9984068630093597
Tubb4b,Enkur,0.9910181546075743
Tubb4b,Spaca9,0.9180122055485304
Tubb4b,Cfap20,0.81252545586202
Tubb4b,Spmip11,0.6949819824311214
Tubb4b,Efhb,0.997606159600431
Tubb4b,Cimap1a,0.9501893036552944
Tubb4b,Tssk6,0.5070878959861553
Tubb4b,Cfap95,0.9871908491619138
Tubb4b,Spmip5,0.9615092970349919
Tubb4b,Ribc1,0.9961570294312109
Tubb4b,Cfap68,0.9175908969878942
Tubb4b,Cfap53,0.9993771074849922
Tubb4b,Efhc2,0.9997471240547416
Tubb4b,Cimip2a,0.999916385871583
Tubb4b,Tektl1,0.9326842707918246
Tubb4b,Ribc2,0.9974301914938222
Tubb4b,Cfap141,0.9736037018358458
Tubb4b,Spmip10,0.8100789679526293
Tubb4b,Efhc1,0.9999389247413781
Tubb4b,Cfap45,0.9893484617309012
Tubb4b,Cfap276,0.9423899545286286
Tubb4b,Spmip9,0.9995874796899392
Tubb4b,Pacrg,0.7210031311178555
Tubb4b,Cfap90,0.910396632032036
Tubb4b,Cimip2c,0.9963473096313051
Tubb4b,Nme7,0.9992321549470994
Tubb4b,PIERCE2,0.7861407168963275
Cfap126,Tuba1a,0.9535914175885489
Cfap126,Efcab6,0.7854531378772005
Cfap126,Enkur,0.9454432648710812
Cfap126,Efhc1,0.9535360348354464
Cimap1a,Efhb,0.9480339409712001
Cimap1a,Cimap1a,0.9053408182521765
Cimap1a,Cfap53,0.9496284645611244
Cfap53,Tekt5,0.9992116627797704
Cfap53,Tuba1a,0.9993770814201649
Cfap53,Spag8,0.9877003110141039
Cfap53,Pierce1,0.7857842470753738
Cfap53,Mns1,0.9928835214942758
Cfap53,Spmip11,0.6947390767967179
Cfap53,Efhb,0.9969862492970593
Cfap53,Cfap68,0.9170706685006806
Cfap53,Cfap53,0.998754990961261
Cfap53,Nme7,0.9986102190030693
Cfap53,PIERCE2,0.7857842470753738
Tektl1,Tuba1a,0.9326842482080083
Tektl1,Spaca9,0.8617346126804984
Tektl1,Tektl1,0.8744313563821362
Tektl1,Spmip10,0.768332584273525
Ceacam15,Ceacam15,0.5
HC,LC,0.5714159017467225
LC,LC,0.6879620492447087
LC,Ighg,0.7527738039814402
LC,Igh,0.7110629111596927
Trav14-1,H2-D1,0.7071586464806912
Trav14-1,Dbh,0.6029502269254354
H2-D1,Ins1,0.721921988716973
H2-D1,Cd8a,0.9323397509506716
H2-D1,B2m,0.9547081643042112
H2-D1,H2-D1,0.9168490550564219
H2-D1,Cd8b,0.8653221523753344
H2-D1,Klra1,0.7071586464806912
H2-D1,Hsf2,0.6583530825845992
H2-D1,Gtf2b,0.6583530825845992
H2-D1,Dbh,0.7071586464806912
H2-D1,Hm13,0.6583530825845992
H2-D1,Tapbp,0.6583530825845992
